video_id,title,description,channel_id,channel_title,published_at,published_date,duration_iso,duration_seconds,duration_formatted,view_count,like_count,comment_count,category_id,default_language,default_audio_language,privacy_status,tags,tags_count,thumbnail_default,thumbnail_medium,thumbnail_high,video_url,embed_url,channel_description,channel_country,channel_thumbnail,channel_published_at,channel_custom_url,subscriber_count,total_video_count,channel_view_count
bGhSZLdGFEQ,What Changes Stubborn Systems? An Entrepreneur + an Engineer Answer | TED Intersections,"What happens when following the “right” path leads you to the “wrong” place? Kickstarter cofounder Yancey Strickler and scientist Jenny Du discuss how they’ve made careers out of rethinking old systems and imagining new ones. They dive into the spark that led to their success — and show why it’s important to love your own “weird ways” of being. (This conversation is part of ""TED Intersections,"" a series featuring thought-provoking conversations between experts navigating the ideas shaping our world.)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original ser",UCAuUUnT6oDeKwE6v1NGQxug,TED,2025-09-16 15:00:06+00:00,2025-09-16 15:00:06,PT24M30S,1470,24:30,8557,245,28,22,en,en,,TEDTalk|TEDTalks|TED Talk|TED Talks|TED,5,https://i.ytimg.com/vi/bGhSZLdGFEQ/default.jpg,https://i.ytimg.com/vi/bGhSZLdGFEQ/mqdefault.jpg,https://i.ytimg.com/vi/bGhSZLdGFEQ/hqdefault.jpg,https://www.youtube.com/watch?v=bGhSZLdGFEQ,https://www.youtube.com/embed/bGhSZLdGFEQ,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons Li",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,2006-12-06T23:27:08Z,@ted,26600000,5265,2948861744
BzUb5MOysLo,How Displaced People Are Driving Local Economies | Julienne Oyler | TED,"The number of forcibly displaced people across the world is on the rise. While aid systems often focus on providing basic necessities like food and shelter, Julienne Oyler and her team at the nonprofit Inkomoko have a more ambitious plan: invest in refugee entrepreneurs in order to help them build their businesses, uplift their communities and gain access to financial services. She describes how displaced people are already driving local economies — and shows what it will take to bring their innovations to scale. (This ambitious idea is part of The Audacious Project, TED’s initiative to inspire and fund global change.) (Recorded at TED2025 on April 9, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedI",UCAuUUnT6oDeKwE6v1NGQxug,TED,2025-09-15 15:00:23+00:00,2025-09-15 15:00:23,PT8M38S,518,08:38,10146,283,75,22,en,en,,TEDTalk|TEDTalks|TED Talk|TED Talks|TED,5,https://i.ytimg.com/vi/BzUb5MOysLo/default.jpg,https://i.ytimg.com/vi/BzUb5MOysLo/mqdefault.jpg,https://i.ytimg.com/vi/BzUb5MOysLo/hqdefault.jpg,https://www.youtube.com/watch?v=BzUb5MOysLo,https://www.youtube.com/embed/BzUb5MOysLo,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons Li",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,2006-12-06T23:27:08Z,@ted,26600000,5265,2948861744
P8ewXLXrTHM,"“The Unprompted,” a Poem That AI Will Never Understand | Salome Agbaroji | TED","What happens when a poet talks back to AI? In an electrifying performance, Salome Agbaroji performs her original spoken-word poem, ""The Unprompted,"" weaving a powerful reflection on humanity, technology and what no machine can match. (Recorded at TED2025 on April 8, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library ",UCAuUUnT6oDeKwE6v1NGQxug,TED,2025-09-14 15:00:40+00:00,2025-09-14 15:00:40,PT5M1S,301,05:01,17940,723,47,22,en,en,,TEDTalk|TEDTalks|TED Talk|TED Talks|TED|social change|poetry|ai|machine learning,9,https://i.ytimg.com/vi/P8ewXLXrTHM/default.jpg,https://i.ytimg.com/vi/P8ewXLXrTHM/mqdefault.jpg,https://i.ytimg.com/vi/P8ewXLXrTHM/hqdefault.jpg,https://www.youtube.com/watch?v=P8ewXLXrTHM,https://www.youtube.com/embed/P8ewXLXrTHM,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons Li",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,2006-12-06T23:27:08Z,@ted,26600000,5265,2948861744
EnbfoFUFm2s,How AI Could Generate New Life-Forms | Eric Nguyen | TED,"If DNA is just a string of letters, could AI learn to read it … or even write it? Bioengineering researcher Eric Nguyen reveals how AI has upended the rules of biology, potentially creating a future where disease is cured with personalized medicine, extinct species are resurrected (Jurassic Park, anyone?) and microbes designed for Mars make interplanetary life possible. Learn more about how the world's first AI-designed CRISPR model successfully edited genes — and what it means for our understanding of life itself. (Recorded at TED2025 on April 9, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks",UCAuUUnT6oDeKwE6v1NGQxug,TED,2025-09-12 15:00:33+00:00,2025-09-12 15:00:33,PT11M43S,703,11:43,44625,1771,180,28,en,en,,TEDTalk|TEDTalks|TED Talk|TED Talks|TED|ai|science|technology|engineering|biology,10,https://i.ytimg.com/vi/EnbfoFUFm2s/default.jpg,https://i.ytimg.com/vi/EnbfoFUFm2s/mqdefault.jpg,https://i.ytimg.com/vi/EnbfoFUFm2s/hqdefault.jpg,https://www.youtube.com/watch?v=EnbfoFUFm2s,https://www.youtube.com/embed/EnbfoFUFm2s,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons Li",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,2006-12-06T23:27:08Z,@ted,26600000,5265,2948861744
UmX4M4Np43A,300 Years of Classical Music in 18 Minutes | Joshua Bell | TED,"Does the world still need classical music? What about orchestras? In this gorgeous talk and performance, violinist Joshua Bell and the Chamber Orchestra of America play selections of classical music masterpieces — from Mozart’s Symphony No. 25 to Schubert’s Unfinished Symphony and more — sharing why this art form remains a singularly unifying force. (Recorded at TED2025 on April 9, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment a",UCAuUUnT6oDeKwE6v1NGQxug,TED,2025-09-11 15:46:30+00:00,2025-09-11 15:46:30,PT18M12S,1092,18:12,135666,4043,143,22,en,en,,TEDTalk|TEDTalks|TED Talk|TED Talks|TED|music|performance|art|history,9,https://i.ytimg.com/vi/UmX4M4Np43A/default.jpg,https://i.ytimg.com/vi/UmX4M4Np43A/mqdefault.jpg,https://i.ytimg.com/vi/UmX4M4Np43A/hqdefault.jpg,https://www.youtube.com/watch?v=UmX4M4Np43A,https://www.youtube.com/embed/UmX4M4Np43A,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons Li",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,2006-12-06T23:27:08Z,@ted,26600000,5265,2948861744
JreonVbDICI,How to Engage Responsibly on Social Media (w/ Katherine Cross) | How to Be a Better Human | TED,"Is it effective to engage with politics on social media — and what does it take to make actual change? Katherine Cross is a researcher on online harassment and the author of Log Off: Why Posting and Politics (Almost) Never Mix. She shares why she believes social media is “anti-political” and how virtual engagement will not achieve the necessary political work for us. Katherine and Chris also discuss the limitations of short-form content in conveying decades of geopolitical strife, why our lives would be better off without social media, and the guardrails platforms could utilize to help users engage with posts critically and to slow down viral misinformation. 

Follow
Host: Chris Duffy (Instagram: @chrisiduffy | chrisduffycomedy.com)
Guest: Katherine Cross (Website: ischool.uw.edu/people/phd/profile/kcross1) 

Links
Log Off Why Posting and Politics (Almost) Never Mix

Subscribe to TED 
Instagram: @ted
YouTube: @TED
TikTok: @tedtoks
LinkedIn: @ted-conferences
Website: ted.com
Podcasts: t",UCAuUUnT6oDeKwE6v1NGQxug,TED,2025-09-10 15:29:26+00:00,2025-09-10 15:29:26,PT34M2S,2042,34:02,14793,292,21,22,en,en,,TEDTalk|TEDTalks|TED Talk|TED Talks|TED,5,https://i.ytimg.com/vi/JreonVbDICI/default.jpg,https://i.ytimg.com/vi/JreonVbDICI/mqdefault.jpg,https://i.ytimg.com/vi/JreonVbDICI/hqdefault.jpg,https://www.youtube.com/watch?v=JreonVbDICI,https://www.youtube.com/embed/JreonVbDICI,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons Li",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,2006-12-06T23:27:08Z,@ted,26600000,5265,2948861744
7z7d3UIMiEY,How Will New Tech Shape Your Life? A Roboticist + a Political Strategist Answer | TED Intersections,"Should you be polite to robots? Political strategist Bradley Tusk and roboticist Ali Kashani explore how new technology is poised to make your life easier — from voting on your phone to having a robot deliver your lunch. They discuss the best ways to use technology to meet people where they are and the challenges that come with disrupting the status quo. (This conversation is part of “TED Intersections,” a series featuring thought-provoking conversations between experts navigating the ideas shaping our world.)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and or",UCAuUUnT6oDeKwE6v1NGQxug,TED,2025-09-09 15:00:05+00:00,2025-09-09 15:00:05,PT24M31S,1471,24:31,28013,400,17,28,en,en,,TEDTalk|TEDTalks|TED Talk|TED Talks|TED|tech|intersections|robots|politics,9,https://i.ytimg.com/vi/7z7d3UIMiEY/default.jpg,https://i.ytimg.com/vi/7z7d3UIMiEY/mqdefault.jpg,https://i.ytimg.com/vi/7z7d3UIMiEY/hqdefault.jpg,https://www.youtube.com/watch?v=7z7d3UIMiEY,https://www.youtube.com/embed/7z7d3UIMiEY,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons Li",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,2006-12-06T23:27:08Z,@ted,26600000,5265,2948861744
mhLWUjB2ox4,The Science of Making Fruits and Veggies Last Longer | Jenny Du | TED,"It's a hard nut to crack: in order to prevent food waste, we rely on plastic packaging and refrigeration, which harm the environment. What if we could turn to nature to address these challenges? Engineer and chemist Jenny Du shares how a simple plant-based innovation — using the same elements found in fruit and vegetable peels — can extend the shelf life of produce, while also fighting food waste and spurring a healthier, more sustainable food system. (Recorded at TED2025 on April 10, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from t",UCAuUUnT6oDeKwE6v1NGQxug,TED,2025-09-08 15:01:20+00:00,2025-09-08 15:01:20,PT11M50S,710,11:50,269533,10647,627,28,en,en,,TEDTalk|TEDTalks|TED Talk|TED Talks|TED|sustainability|science|technology|business|innovation,10,https://i.ytimg.com/vi/mhLWUjB2ox4/default.jpg,https://i.ytimg.com/vi/mhLWUjB2ox4/mqdefault.jpg,https://i.ytimg.com/vi/mhLWUjB2ox4/hqdefault.jpg,https://www.youtube.com/watch?v=mhLWUjB2ox4,https://www.youtube.com/embed/mhLWUjB2ox4,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons Li",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,2006-12-06T23:27:08Z,@ted,26600000,5265,2948861744
EGM-b1bhqkY,"What Sex, Soap and Alcohol Taught Me About Making an Impact | Myriam Sidibe | TED","What if saving lives and growing a company went hand in hand? Public health expert Myriam Sidibe thinks many businesses are going about social impact all wrong — and leaving millions of dollars on the table at the same time. Drawing from decades of experience, she reveals a playbook for brands to create real impact, proving that what’s good for society can be great for business. (Recorded at TED2025 on April 9, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos ",UCAuUUnT6oDeKwE6v1NGQxug,TED,2025-09-07 15:00:20+00:00,2025-09-07 15:00:20,PT9M58S,598,09:58,145597,584,13,22,en,en,,TEDTalk|TEDTalks|TED Talk|TED Talks|TED|culture|business|society,8,https://i.ytimg.com/vi/EGM-b1bhqkY/default.jpg,https://i.ytimg.com/vi/EGM-b1bhqkY/mqdefault.jpg,https://i.ytimg.com/vi/EGM-b1bhqkY/hqdefault.jpg,https://www.youtube.com/watch?v=EGM-b1bhqkY,https://www.youtube.com/embed/EGM-b1bhqkY,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons Li",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,2006-12-06T23:27:08Z,@ted,26600000,5265,2948861744
iSUZjXiGHpQ,A Traditional Job Isn’t the Only Path to Success | Anuj Tanna | TED,"Africa’s booming youth population is often seen as a ""jobless generation."" But in Kenya alone, young people are already adding more than 530 million dollars a month to the economy through informal businesses. Social entrepreneur Anuj Tanna, who cofounded a social network to connect these entrepreneurs, challenges us to rethink the narrative: What if the informal economy isn’t a problem to fix, but a powerful engine to fuel the future of work? (Recorded at TED Countdown Summit 2025 on June 17, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original serie",UCAuUUnT6oDeKwE6v1NGQxug,TED,2025-09-05 15:01:22+00:00,2025-09-05 15:01:22,PT12M17S,737,12:17,25165,691,44,22,en,en,,TEDTalk|TEDTalks|TED Talk|TED Talks|TED|business|economics|entrepreneur|innovation,9,https://i.ytimg.com/vi/iSUZjXiGHpQ/default.jpg,https://i.ytimg.com/vi/iSUZjXiGHpQ/mqdefault.jpg,https://i.ytimg.com/vi/iSUZjXiGHpQ/hqdefault.jpg,https://www.youtube.com/watch?v=iSUZjXiGHpQ,https://www.youtube.com/embed/iSUZjXiGHpQ,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons Li",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,2006-12-06T23:27:08Z,@ted,26600000,5265,2948861744
