video_id,transcript
tqo0h5jvtsE,"So, about the executive evaluation, they're super charismatic, but they like to play hard ball, so let them lead. Also, they're known for their tantrums, especially before lunchtime. So, just let them lead the questions. Whatever you do, don't stare. Good luck. [Music] So honored to uh do business with all of you. I know you have lunch soon, so I'm not going to take much of your time. Uh what questions you have for me? >> Why Grand Learning and Koda? >> Well, we're focused on uh very similar problems with very similar customers. And we take a very similar approach. Together, we're building a product that's kind of like a smart friend that can work with you, not only fixing your writing, but organize your thoughts, connect you with all your other applications and information, and solve lots of problems for you. >> What's the future of Grammarly? >> Grammarly is going to be a platform for all of your AI helpers, and they're going to be able to work across all your different applications, take actions for you, and make collaboration really easy. >> What's your favorite part about working at Grammy? It's >> a great question. I love working on products that help millions of people every single day. >> Is AI gonna take over jobs? I don't want to eliminate sales. >> Well, AI is definitely going to change how you work. Um, but I don't think it's going to eliminate any jobs. We're really going to do is give you new helpers. So, you might have a helper who could help you design signs or a different helper that could help you track your sales. Uh, and that way you can focus on making the best lemoning. >> Can Grammarly do my chores? Grammarly can't do your chores yet, but we're working on solving lots of other problems for you. So, at least we'll be able to organize how you do your chores, even if we can't do your laundry for you. >> How do you decide what you think to add to Grammarly? Do you just pick the most fun ideas? >> Not quite, but we do listen really closely to our users and work on ideas that we think are going to have a lot of impact. And that's definitely fun for me. Listen, I'm on a mission to change how humans and AI work together to get more done. I hope you're all on board to support me with this vision. >> We approve. >> As the chairman of the board, I have a very important question to ask. You got snacks here, right? >> All the gummies you want."
f_XVxYjmWj8,"Some of the challenges with notion that made me consider alternatives. A lot of it had to do with pricing going up and my team using less and less of those features. What I was looking for was to have a tool where members of my team would be empowered to make updates within their own departments without having to pay for a seat for every single person who makes updates. The migration process from notion was very seamless. It didn't require any further editing from me. So, if that hadn't been the case, it might have taken me longer to make a decision. But that sold it for me. Using Kod and Grammarly together, it's just a beautiful marriage of two tools for two work processes that are so important to my business. I can create really clear documentation. and I can catch any errors and ensure our brand style guide is implemented even in how we talk about clients and their products."
G7BhPpYiGB4,"Using Koda and Grammarly together, it's just a beautiful marriage of two tools for two work processes that are so important to my business. I can create really clear documentation. I can catch any errors and ensure our brand style guide is implemented even in how we talk about clients and their products. Hi, my name is Maddie Osman. I am the founder of the Blogsmith content agency for B2B technology brands. I was looking for a tool where members of my team would be empowered to make updates within their own departments without having to pay for a seat for every single person who makes updates. In KOD, you're only paying for the user who creates the initial documents. From there, other team members are able to edit those documents without me needing to add paid seats for the privilege. KOD empowers team members with the information that they need in order to complete their task. Whether it's client specific information, their persona documentation, and standard operating procedures. With Grammarly, we make use of the custom style guide to make it really straightforward for my team to be on the same page and not waste a lot of time on unnecessary edits. With Grammarly and KOD, my team is finally able to have an effective single point of truth for both our style rules and the essential processes that underly our content creation. [Music]"
O0qdEu7VjDs,"The biggest benefit of using Grammarly in my work is that it helps me be the best writer that I can be so that I can be an effective partner for my clients. My name is Alyssa Towns and I'm a freelance writer at Words with Alyssa LLC. Prior to working with Grammarly, and I don't think I realized it at the time, my writing just wasn't always super clear. Looking back, I realized that Grammarly was not only improving my writing, but also helping me become a better and stronger writer, too. Grammarly has analyzed over 25 million words since I started using it over 5 years ago. And it's helped me maintain long-term relationships with my clients, provide high quality work to them, and prior to freelancing. It's really helped me succeed as an internal communications professional. I use paragraph rewrites, clarity suggestions, and proofreading the most in Grammarly because my secret sauce is getting that first draft down on paper, getting those initial thoughts out, and then using Grammarly to really bring it to life, clean it up, and turn it into the best version that it can be. My favorite way to use Grammarly's AI feature is to generate a starting point for longer communications to get that first draft out so that I can focus on the more strategic pieces of the communication itself. No matter your role in communications or what type of work you do, Grammarly works wherever you work and caters to you to help you be the best, most effective communicator that you can be."
WpRFs0gUYRs,"If I were to speak to my past self before using Grammarly, I would say, imagine having a personal writing assistant that not only catches embarrassing mistakes before hitting send, but also helps you articulate your ideas clearly and improves your writing skills every time you use it. My name is Stacy Rashan. I'm an educational technology consultant and author. Grammarly's AI makes me a more confident writer. With its assistance, I'm able to craft clear and more effective messages. Those who use Grammarly know it's a superstar in helping you strike the right tone, and I love the ease with which you can toggle between more friendly and more formal tones effortlessly with some of Grammarly's newer features. My favorite new Grammarly feature is paragraph rewrite. While Grammarly was great at catching errors and suggesting improvements in the past, paragraph rewrites have really taken everything up several notches. To me, it almost feels like I used to have a copy editor with Grammarly, and now I have a line editor, an assistant that improves the overall structure, flow, and coherence of my writing. I also just love the implementation of the paragraph rewrites. It's such a natural flow. I simply tap the sidebar to see suggestions there in line. I can undo any changes that I don't feel right and then I can choose to accept and continue on. I never hit send on a post without checking with Grammarly first. Grammarly will make you a more confident and effective communicator and truly helps you develop as a writer while maintaining your personal style."
dvAh0pp7tBk,"Introducing Grammarly like you've never seen before. Your all-in-one writing essential. Today, we're checking out Proofreader, a gem of a tool for notes, proposals, emails, and everything in between. Proofreader goes beyond just spelling and grammar. It helps elevate your writing by refining structure, clarifying your main point, and improving overall flow and logic, providing instant feedback, smart suggestions, and more. You decide what stays and what goes. Total control, zero guesswork. And that's just one of Grammarly's full lineup of writing agents. Writing that's clearer, sharper, and more you. Grammarly's proofreader makes it easy. What's next on that to-do list?"
a2nYw3gao7E,"Introducing Grammarly like you've never seen before. Your all-in-one writing essential. This is Paraphraser, your go-to tool for writing that's sharp, clear, and ready for whatever hat you put on. It works like this. Here are some notes from a busy meeting. Paraphraser helps turn messy notes into polished writing. No extra effort required. Click on this icon to choose the tone of voice. And voila, professional, casual, friendly. You name it. Today, it's all business. With just a few clicks, the message is clearer, sharper, and more professional without losing your voice. Paraphraser is just one of Grammarly's powerful agents. Grammarly's got everything you need to write with confidence, no matter what you're working on."
y883pM6-ya8,"Introducing Grammarly like you've never seen before. Your all-in-one writing essential. Writing a strong paper can feel like a lot. Research, structure, clarity, and meeting that grading criteria to get the best outcome possible. Grammarly's AI grader is here to help. When you've got your paper in a good place, move over to the side panel where you can add relevant class information, upload a grading rubric, and analyze your paper for a potential grade. You'll see a breakdown of strengths, weaknesses, and personalized suggestions tied to your course goals so you know exactly where to focus. Grammarly's AI grader means less guessing, more clarity, and a clearer path to better grades all in one place."
m0JR03nxy5k,"Introducing Grammarly, like you've never seen before. Your all-in-one writing essential. The best writing reflects you clearly and responsibly. Grammarly's AI detector makes sure everything you write stays true to you. When you're done with your draft, head over to the sidebar and click the AI detector icon. It shows you if anything sounds off, like awkward phrases or redundant transitions. Plus, it actually explains why so you can fix it. And if you want to use AI text, just click generate citation and it keeps things crystal clear. There, clean as a whistle. Because if a paper has your name on it, it's by you. And Grammarly makes sure it stays that way."
VBAQr43v5hc,"Introducing Grammarly, like you've never seen before. Your all-in-one writing essential. Recycling is great for bottles, not borrowed sentences. Grammarly's plagiarism checker helps you stay original by catching borrowed lines before they slip through. Here's how it works. Once your draft is finished, click on the plagiarism checker icon in the side panel. It checks the writing against a massive database and flags any copied phrases, complete with the percentage and direct links to sources. Way easier than wasting energy by clicking around trying to find the source. No recycled lines, no copy paste scraps. Grammarly's plagiarism checker keeps your writing fresh. [Music]"
